0022;;Double_Quote
0027;;Single_Quote
05D0;05EA;Hebrew_Letter
05EF;05F2;Hebrew_Letter
FB1D;;Hebrew_Letter
FB1F;FB28;Hebrew_Letter
FB2A;FB36;Hebrew_Letter
FB38;FB3C;Hebrew_Letter
FB3E;;Hebrew_Letter
FB40;FB41;Hebrew_Letter
FB43;FB44;Hebrew_Letter
FB46;FB4F;Hebrew_Letter
000D;;CR
000A;;LF
000B;000C;Newline
0085;;Newline
2028;;Newline
2029;;Newline
0300;036F;Extend
0483;0487;Extend
0488;0489;Extend
0591;05BD;Extend
05BF;;Extend
05C1;05C2;Extend
05C4;05C5;Extend
05C7;;Extend
0610;061A;Extend
064B;065F;Extend
0670;;Extend
06D6;06DC;Extend
06DF;06E4;Extend
06E7;06E8;Extend
06EA;06ED;Extend
0711;;Extend
0730;074A;Extend
07A6;07B0;Extend
07EB;07F3;Extend
07FD;;Extend
0816;0819;Extend
081B;0823;Extend
0825;0827;Extend
0829;082D;Extend
0859;085B;Extend
0897;089F;Extend
08CA;08E1;Extend
08E3;0902;Extend
0903;;Extend
093A;;Extend
093B;;Extend
093C;;Extend
093E;0940;Extend
0941;0948;Extend
0949;094C;Extend
094D;;Extend
094E;094F;Extend
0951;0957;Extend
0962;0963;Extend
0981;;Extend
0982;0983;Extend
09BC;;Extend
09BE;09C0;Extend
09C1;09C4;Extend
09C7;09C8;Extend
09CB;09CC;Extend
09CD;;Extend
09D7;;Extend
09E2;09E3;Extend
09FE;;Extend
0A01;0A02;Extend
0A03;;Extend
0A3C;;Extend
0A3E;0A40;Extend
0A41;0A42;Extend
0A47;0A48;Extend
0A4B;0A4D;Extend
0A51;;Extend
0A70;0A71;Extend
0A75;;Extend
0A81;0A82;Extend
0A83;;Extend
0ABC;;Extend
0ABE;0AC0;Extend
0AC1;0AC5;Extend
0AC7;0AC8;Extend
0AC9;;Extend
0ACB;0ACC;Extend
0ACD;;Extend
0AE2;0AE3;Extend
0AFA;0AFF;Extend
0B01;;Extend
0B02;0B03;Extend
0B3C;;Extend
0B3E;;Extend
0B3F;;Extend
0B40;;Extend
0B41;0B44;Extend
0B47;0B48;Extend
0B4B;0B4C;Extend
0B4D;;Extend
0B55;0B56;Extend
0B57;;Extend
0B62;0B63;Extend
0B82;;Extend
0BBE;0BBF;Extend
0BC0;;Extend
0BC1;0BC2;Extend
0BC6;0BC8;Extend
0BCA;0BCC;Extend
0BCD;;Extend
0BD7;;Extend
0C00;;Extend
0C01;0C03;Extend
0C04;;Extend
0C3C;;Extend
0C3E;0C40;Extend
0C41;0C44;Extend
0C46;0C48;Extend
0C4A;0C4D;Extend
0C55;0C56;Extend
0C62;0C63;Extend
0C81;;Extend
0C82;0C83;Extend
0CBC;;Extend
0CBE;;Extend
0CBF;;Extend
0CC0;0CC4;Extend
0CC6;;Extend
0CC7;0CC8;Extend
0CCA;0CCB;Extend
0CCC;0CCD;Extend
0CD5;0CD6;Extend
0CE2;0CE3;Extend
0CF3;;Extend
0D00;0D01;Extend
0D02;0D03;Extend
0D3B;0D3C;Extend
0D3E;0D40;Extend
0D41;0D44;Extend
0D46;0D48;Extend
0D4A;0D4C;Extend
0D4D;;Extend
0D57;;Extend
0D62;0D63;Extend
0D81;;Extend
0D82;0D83;Extend
0DCA;;Extend
0DCF;0DD1;Extend
0DD2;0DD4;Extend
0DD6;;Extend
0DD8;0DDF;Extend
0DF2;0DF3;Extend
0E31;;Extend
0E34;0E3A;Extend
0E47;0E4E;Extend
0EB1;;Extend
0EB4;0EBC;Extend
0EC8;0ECE;Extend
0F18;0F19;Extend
0F35;;Extend
0F37;;Extend
0F39;;Extend
0F3E;0F3F;Extend
0F71;0F7E;Extend
0F7F;;Extend
0F80;0F84;Extend
0F86;0F87;Extend
0F8D;0F97;Extend
0F99;0FBC;Extend
0FC6;;Extend
102B;102C;Extend
102D;1030;Extend
1031;;Extend
1032;1037;Extend
1038;;Extend
1039;103A;Extend
103B;103C;Extend
103D;103E;Extend
1056;1057;Extend
1058;1059;Extend
105E;1060;Extend
1062;1064;Extend
1067;106D;Extend
1071;1074;Extend
1082;;Extend
1083;1084;Extend
1085;1086;Extend
1087;108C;Extend
108D;;Extend
108F;;Extend
109A;109C;Extend
109D;;Extend
135D;135F;Extend
1712;1714;Extend
1715;;Extend
1732;1733;Extend
1734;;Extend
1752;1753;Extend
1772;1773;Extend
17B4;17B5;Extend
17B6;;Extend
17B7;17BD;Extend
17BE;17C5;Extend
17C6;;Extend
17C7;17C8;Extend
17C9;17D3;Extend
17DD;;Extend
180B;180D;Extend
180F;;Extend
1885;1886;Extend
18A9;;Extend
1920;1922;Extend
1923;1926;Extend
1927;1928;Extend
1929;192B;Extend
1930;1931;Extend
1932;;Extend
1933;1938;Extend
1939;193B;Extend
1A17;1A18;Extend
1A19;1A1A;Extend
1A1B;;Extend
1A55;;Extend
1A56;;Extend
1A57;;Extend
1A58;1A5E;Extend
1A60;;Extend
1A61;;Extend
1A62;;Extend
1A63;1A64;Extend
1A65;1A6C;Extend
1A6D;1A72;Extend
1A73;1A7C;Extend
1A7F;;Extend
1AB0;1ABD;Extend
1ABE;;Extend
1ABF;1ADD;Extend
1AE0;1AEB;Extend
1B00;1B03;Extend
1B04;;Extend
1B34;;Extend
1B35;;Extend
1B36;1B3A;Extend
1B3B;;Extend
1B3C;;Extend
1B3D;1B41;Extend
1B42;;Extend
1B43;1B44;Extend
1B6B;1B73;Extend
1B80;1B81;Extend
1B82;;Extend
1BA1;;Extend
1BA2;1BA5;Extend
1BA6;1BA7;Extend
1BA8;1BA9;Extend
1BAA;;Extend
1BAB;1BAD;Extend
1BE6;;Extend
1BE7;;Extend
1BE8;1BE9;Extend
1BEA;1BEC;Extend
1BED;;Extend
1BEE;;Extend
1BEF;1BF1;Extend
1BF2;1BF3;Extend
1C24;1C2B;Extend
1C2C;1C33;Extend
1C34;1C35;Extend
1C36;1C37;Extend
1CD0;1CD2;Extend
1CD4;1CE0;Extend
1CE1;;Extend
1CE2;1CE8;Extend
1CED;;Extend
1CF4;;Extend
1CF7;;Extend
1CF8;1CF9;Extend
1DC0;1DFF;Extend
200C;;Extend
20D0;20DC;Extend
20DD;20E0;Extend
20E1;;Extend
20E2;20E4;Extend
20E5;20F0;Extend
2CEF;2CF1;Extend
2D7F;;Extend
2DE0;2DFF;Extend
302A;302D;Extend
302E;302F;Extend
3099;309A;Extend
A66F;;Extend
A670;A672;Extend
A674;A67D;Extend
A69E;A69F;Extend
A6F0;A6F1;Extend
A802;;Extend
A806;;Extend
A80B;;Extend
A823;A824;Extend
A825;A826;Extend
A827;;Extend
A82C;;Extend
A880;A881;Extend
A8B4;A8C3;Extend
A8C4;A8C5;Extend
A8E0;A8F1;Extend
A8FF;;Extend
A926;A92D;Extend
A947;A951;Extend
